movie_id,genre_id
18706,53
18706,80
31997,53
31997,9648
27367,18
27367,10749
27367,10752
14906,16
14906,12
14906,10402
26922,878
26922,27
55086,18
68440,18
68440,53
40916,35
40916,10749
40916,10402
27130,9648
27130,27
27130,18
43515,35
43515,10749
43515,10402
18783,12
18783,10752
43510,28
43510,10752
43510,18
100910,18
100910,10749
100910,10752
41391,18
41391,36
25037,10752
25037,18
25037,10749
25037,35
29084,9648
29084,18
29084,53
21734,53
35022,18
72103,18
72103,10752
84656,18
84656,10752
980,37
980,18
150778,10752
150778,18
150778,10749
22744,18
22744,10749
80616,35
80616,10749
54288,14
54288,18
54288,27
55835,18
20945,27
20945,9648
162641,10752
162641,18
162641,12
5155,80
5155,18
5155,10749
212,35
212,80
996,80
996,53
43307,18
43307,10749
909,35
909,18
909,10749
909,10751
36498,35
36498,10752
51144,18
17136,53
17136,80
17136,18
1939,18
1939,9648
21622,10402
21622,35
21622,10749
42401,18
42401,10749
42401,10752
22584,12
22584,10749
22584,10752
30719,10749
30719,18
17641,18
17641,10751
17988,18
17988,10752
13321,10752
13321,18
15947,16
15947,10751
15947,10402
218096,10402
15696,18
15696,9648
15696,10752
15696,35
16373,9648
16373,27
16373,14
16373,10749
878,35
3309,80
3309,18
56137,10749
56137,18
56137,35
43495,10402
43495,18
851,18
851,10749
72163,37
72163,35
30348,27
43494,18
43494,14
43494,10749
43490,10752
43490,12
43490,18
43490,28
28580,18
20367,18
20367,53
4174,53
4174,9648
4174,10749
307,18
307,10752
17058,18
17058,80
2457,18
2457,10749
178575,18
178575,10752
34327,9648
34327,80
34327,53
17889,10402
17889,35
17889,10749
14594,35
14594,9648
38466,9648
13581,27
13581,53
49845,18
49845,10749
41073,18
41073,12
41073,36
303,53
303,10749
303,9648
28907,10402
28907,37
28907,10749
28907,35
910,9648
910,80
910,53
25736,18
25736,10749
25736,80
25736,53
28162,10749
28162,14
28162,18
28162,10752
28162,35
648,18
648,14
648,10749
25502,18
25502,10749
25502,10402
90093,18
83098,35
83098,10402
1585,18
1585,10751
1585,14
31206,18
31206,10402
3767,10749
3767,18
3767,53
32945,18
32945,53
32945,36
3088,37
3088,10749
3088,18
887,18
887,10749
887,10752
20417,9648
20417,80
20417,53
32275,37
32275,10749
32275,18
29100,53
29100,80
13850,10751
13850,16
20408,9648
20408,80
20408,53
21336,80
21336,18
20246,53
20246,80
20343,16
20343,10402
20343,10751
89186,18
89186,10749
14320,18
14320,10749
16391,18
98539,12
98539,10749
43461,80
43461,18
43461,53
31513,10402
31513,35
31513,10749
111042,35
111042,10402
111042,10749
42342,35
42342,10749
31667,18
31667,9648
31667,10749
22292,10749
22292,14
22292,18
55308,37
28120,80
28120,9648
28120,53
117241,10749
678,80
678,53
101780,18
46929,16
46929,10402
17487,18
33079,80
33079,18
98578,18
98578,10402
3766,9648
3766,80
3766,53
11881,35
11881,18
11881,10751
33667,18
3089,37
19542,18
19542,10749
23383,18
208708,18
208708,36
208708,10752
33111,18
33111,10749
32066,18
32066,10749
23861,10752
23861,18
81294,16
81294,10751
81294,14
81294,10402
29380,10749
29380,10402
1580,53
1580,80
1580,18
62694,18
62694,9648
45628,10402
45628,80
43454,12
43454,35
43454,80
43454,10749
32294,35
3090,12
3090,18
3090,37
43442,10751
43442,18
32850,53
