movie_id,title,original_title,original_language,popularity,release_date,year,vote_average,vote_count,imdbid,bechdel_rating,bechdel_dubious,bechdel_id,bechdel_date
4104,Benny & Joon,Benny & Joon,en,13.276,1993-04-16,1993,7.0,754,106387,1,0,7619,2017-05-21
4478,Indecent Proposal,Indecent Proposal,en,37.99,1993-04-07,1993,6.374,1434,107211,0,0,7642,2017-05-21
9386,In the Line of Fire,In the Line of Fire,en,12.979,1993-07-08,1993,6.987,1579,107206,1,1,7667,2017-05-28
8223,Kika,Kika,es,10.625,1993-10-29,1993,6.5,284,107315,3,0,7699,2017-06-20
2259,The House of the Spirits,The House of the Spirits,en,16.491,1993-10-21,1993,6.9,685,107151,3,0,7840,2017-09-28
8291,Poetic Justice,Poetic Justice,en,12.036,1993-07-23,1993,6.9,251,107840,3,0,8148,2018-04-06
10502,The Man Without a Face,The Man Without a Face,en,10.602,1993-08-25,1993,6.536,514,107501,1,0,8552,2018-12-14
32325,Mi Vida Loca,Mi Vida Loca,en,4.464,1994-06-08,1994,7.1,31,107566,3,0,8568,2018-12-18
31642,Heaven & Earth,Heaven & Earth,en,13.519,1993-12-25,1993,6.7,252,107096,2,0,8652,2019-02-26
23210,Six Degrees of Separation,Six Degrees of Separation,en,11.456,1993-12-08,1993,6.422,323,108149,3,0,8759,2019-06-01
11971,Much Ado About Nothing,Much Ado About Nothing,en,15.649,1993-05-07,1993,6.935,729,107616,1,1,9033,2020-03-10
20239,Fear of a Black Hat,Fear of a Black Hat,en,2.621,1994-06-03,1994,6.024,42,106880,1,0,9155,2020-06-06
33607,"I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney","I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney",en,2.265,1993-01-01,1993,3.9,27,166222,3,0,9398,2020-12-20
9593,Last Action Hero,Last Action Hero,en,21.999,1993-06-18,1993,6.5,2709,107362,1,0,9466,2021-02-03
2019,Hard Target,Hard Target,en,28.6,1993-04-27,1993,6.419,1192,107076,1,0,9565,2021-03-16
61197,Space Zombie Bingo!!!,Space Zombie Bingo!!!,en,0.573,1993-01-24,1993,2.5,6,314713,0,0,9735,2021-04-29
11811,Leprechaun,Leprechaun,en,23.2,1993-01-08,1993,5.589,773,107387,1,0,10136,2021-11-21
680,Pulp Fiction,Pulp Fiction,en,97.535,1994-09-10,1994,8.487,28081,110912,3,,91,2008-07-29
8587,The Lion King,The Lion King,en,198.126,1994-06-24,1994,8.256,18379,110357,1,,100,2008-07-30
628,Interview with the Vampire,Interview with the Vampire,en,35.406,1994-11-11,1994,7.38,5859,110148,1,,120,2008-08-01
15283,Pom Poko,平成狸合戦ぽんぽこ,ja,23.678,1994-07-16,1994,7.167,1061,110008,1,,261,2009-01-22
278,The Shawshank Redemption,The Shawshank Redemption,en,160.375,1994-09-23,1994,8.708,27402,111161,0,,339,2009-06-13
1637,Speed,Speed,en,30.915,1994-06-09,1994,7.1,6186,111257,3,0,440,2009-08-10
3049,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,en,37.471,1994-02-04,1994,6.6,5806,109040,2,0,441,2009-08-10
2292,Clerks,Clerks,en,11.707,1994-10-19,1994,7.399,2493,109445,1,0,488,2009-08-30
1024,Heavenly Creatures,Heavenly Creatures,en,10.248,1994-09-12,1994,7.0,914,110005,3,0,567,2009-12-17
4954,Drop Zone,Drop Zone,en,14.317,1994-12-08,1994,5.7,396,109676,2,0,571,2009-12-19
8831,Timecop,Timecop,en,18.367,1994-09-15,1994,6.002,1159,111438,1,0,574,2009-12-20
13,Forrest Gump,Forrest Gump,en,145.07,1994-06-23,1994,8.47,27612,109830,1,0,776,2010-05-03
2788,Reality Bites,Reality Bites,en,12.664,1994-02-18,1994,6.563,729,110950,3,0,860,2010-05-28
8467,Dumb and Dumber,Dumb and Dumber,en,55.584,1994-12-16,1994,6.635,6122,109686,2,0,890,2010-06-03
2164,Stargate,Stargate,en,28.227,1994-10-28,1994,7.005,3426,111282,1,0,959,2010-06-17
9587,Little Women,Little Women,en,18.372,1994-12-21,1994,7.3,1229,110367,3,0,960,2010-06-17
11395,The Santa Clause,The Santa Clause,en,44.419,1994-11-11,1994,6.5,2075,111070,1,0,1051,2010-07-04
15969,The Return of Jafar,The Return of Jafar,en,28.961,1994-05-20,1994,6.2,3342,107952,0,0,1066,2010-07-04
15139,The Pagemaster,The Pagemaster,en,17.227,1994-11-23,1994,6.4,737,110763,1,0,1208,2010-07-20
24795,Angels in the Outfield,Angels in the Outfield,en,12.655,1994-07-15,1994,5.9,437,109127,1,0,1128,2010-07-09
36955,True Lies,True Lies,en,30.635,1994-07-15,1994,7.1,4112,111503,3,0,1098,2010-07-04
10731,The Client,The Client,en,21.698,1994-07-20,1994,6.7,1127,109446,3,0,1535,2010-09-06
30157,Amateur,Amateur,en,5.074,1994-08-05,1994,6.2,88,109093,3,0,1571,2010-09-15
211211,Pat and Margaret,Pat and Margaret,en,1.0,1994-09-11,1994,7.5,10,124829,3,0,1734,2010-11-04
101,Léon: The Professional,Léon,fr,79.255,1994-09-14,1994,8.306,14858,110413,3,0,1755,2010-11-14
11853,Bad Girls,Bad Girls,en,10.962,1994-04-22,1994,5.429,238,109198,3,0,1786,2010-11-30
18620,Go Fish,Go Fish,en,5.05,1994-02-01,1994,4.7,29,109913,3,0,1788,2010-11-30
36593,Naked Gun 33⅓: The Final Insult,Naked Gun 33⅓: The Final Insult,en,21.617,1994-03-18,1994,6.5,2061,110622,2,0,1826,2010-12-05
306,Beverly Hills Cop III,Beverly Hills Cop III,en,33.151,1994-05-24,1994,5.9,1904,109254,0,0,1850,2010-12-14
11546,Police Academy: Mission to Moscow,Police Academy: Mission to Moscow,en,21.849,1994-06-09,1994,4.636,875,110857,1,0,1914,2011-01-15
522,Ed Wood,Ed Wood,en,14.927,1994-09-28,1994,7.5,2319,109707,3,0,1920,2011-01-16
10451,Eat Drink Man Woman,飲食男女,zh,11.755,1994-08-03,1994,7.555,339,111797,3,0,2121,2011-03-16
236,Muriel's Wedding,Muriel's Wedding,en,13.914,1994-09-29,1994,6.8,445,110598,3,0,2209,2011-04-23
86369,Mina Tannenbaum,Mina Tannenbaum,fr,2.324,1994-03-02,1994,6.2,18,110521,3,0,2210,2011-04-23
34152,Crooklyn,Crooklyn,en,7.464,1994-05-13,1994,6.7,141,109504,3,0,2350,2011-05-26
8850,The Shadow,The Shadow,en,14.704,1994-07-01,1994,6.056,521,111143,0,0,2535,2011-07-14
40156,Priest,Priest,en,6.495,1995-03-24,1995,6.3,130,110889,3,0,2852,2011-11-19
18670,Legend of the Red Dragon,洪熙官之少林五祖,cn,15.457,1994-02-05,1994,6.932,147,110054,3,1,4326,2013-07-10
15097,Fear City: A Family-Style Comedy,La cité de la peur,fr,7.76,1994-03-09,1994,7.499,1241,109440,3,0,2972,2012-01-05
57834,Blue Sky,Blue Sky,en,9.227,1994-09-16,1994,6.086,128,109306,3,0,3004,2012-01-26
64900,I Can't Sleep,J'ai pas sommeil,fr,2.246,1994-05-18,1994,6.2,14,110171,3,0,3008,2012-01-27
41589,Trading Mom,Trading Mom,en,4.686,1994-03-04,1994,6.0,49,111470,3,0,3044,2012-02-12
11934,The Hudsucker Proxy,The Hudsucker Proxy,en,18.938,1994-03-11,1994,7.07,1051,110074,1,0,3062,2012-02-20
25284,The Last Seduction,The Last Seduction,en,14.618,1994-05-26,1994,6.8,376,110308,1,0,3104,2012-03-10
25645,Wing Chun,Wing Chun,cn,8.665,1994-03-24,1994,6.8,75,111800,2,0,3106,2012-03-11
77728,Giorgino,Giorgino,fr,3.555,1994-10-05,1994,6.7,36,109900,3,0,3133,2012-03-20
22059,The Fantastic Four,The Fantastic Four,en,8.718,1994-05-31,1994,4.3,173,109770,1,0,3162,2012-04-04
48992,I Like It Like That,I Like It Like That,en,3.671,1994-10-14,1994,6.4,18,110091,3,0,3179,2012-04-12
10447,No Escape,No Escape,en,17.232,1994-04-29,1994,6.269,420,110678,0,0,3243,2012-05-09
